dataset,root_mode,rf,rt,n_runs,sum_w1,avg_w1,n_pairs,skipped_real,skipped_sim,median_root_to_leaf,seed,tree_path,cc_path,timestamp
ATGC0070,median_synthetic,0.31622777,0.01,5,10834.71003,386.9539295,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:01:51.852641Z
ATGC0070,median_synthetic,0.31622777,0.031622777,5,10813.08051,386.1814468,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:02:08.068327Z
ATGC0070,median_synthetic,0.31622777,0.1,5,10739.07004,383.5382157,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:02:27.106490Z
ATGC0070,median_synthetic,0.31622777,0.31622777,5,8721.019212,311.4649719,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:02:52.149767Z
ATGC0070,median_synthetic,0.31622777,1,5,8274.855287,295.530546,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:03:25.768592Z
ATGC0070,median_synthetic,0.31622777,3.1622777,5,8287.442263,295.9800808,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:04:18.570817Z
ATGC0070,median_synthetic,0.31622777,10,5,2852.958092,101.8913604,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:06:06.915358Z
ATGC0070,median_synthetic,1,0.001,5,16140.80449,576.457303,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:06:40.876547Z
ATGC0070,median_synthetic,1,0.0031622777,5,12888.55374,460.3054909,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:07:14.384726Z
ATGC0070,median_synthetic,1,0.01,5,13106.26959,468.0810567,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:07:48.258995Z
